DB3|Table1|CREATE|2021-11-01 12:12:12|
____|null|CREATE|2021-12-08 19:24:22|2021-12-08 19:24:22|
d1|t1|CREATE|2021-12-08 19:24:50|2021-12-08 19:24:50|
d1|t2|INSERT|2021-12-08 19:25:19|2021-12-08 19:25:19|
d1|t1|SELECT|2021-12-08 19:25:32|2021-12-08 19:25:32|
____|t1|SELECT|2021-12-08 19:45:01|2021-12-08 19:45:01|
d1|t1|SELECT|2021-12-08 19:46:09|2021-12-08 19:46:09|
d4|t1|SELECT|2021-12-08 20:02:58|2021-12-08 20:02:58|
d4|t1|DELETE|2021-12-08 20:03:54|2021-12-08 20:03:54|
d1|t1|CREATE|2021-12-08 19:24:50|2021-12-08 19:24:50|
d3|t1|INSERT|2021-12-08 19:25:19|2021-12-08 19:25:19|
d3|t1|SELECT|2021-12-08 19:25:32|2021-12-08 19:25:32|
____|t1|SELECT|2021-12-08 19:45:01|2021-12-08 19:45:01|
d1|t1|SELECT|2021-12-08 19:46:09|2021-12-08 19:46:09|
d2|t1|SELECT|2021-12-08 20:02:58|2021-12-08 20:02:58|
d2|t1|DELETE|2021-12-08 20:03:54|2021-12-08 20:03:54|
____|db1|SELECT|2021-12-08 23:01:40|2021-12-08 23:01:40|
login|sumit|login|2021-12-10 01:42:05||
